grade,gene,Gene description,Phenotype description
91,LUZP1,leucine zipper protein 1 ,
91,CDH10,cadherin 10 ,
91,IRAG1,"""inositol 1",4
91,TIGAR,TP53 induced glycolysis regulatory phosphatase ,
90,KRT9,keratin 9 ,Epidermolytic palmoplantar keratoderma
90,IL17RC,interleukin 17 receptor C ,Chronic mucocutaneous candidiasis
90,EML6,EMAP like 6 ,
90,SCARF1,scavenger receptor class F member 1 ,
90,CEP43,centrosomal protein 43 ,
90,RAPGEF6,Rap guanine nucleotide exchange factor 6 ,
90,CTH,cystathionine gamma-lyase ,CYSTATHIONINURIA
90,SOHLH2,spermatogenesis and oogenesis specific basic helix-loop-helix 2 ,
90,HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1 ,Neuroblastoma
90,PEX26,peroxisomal biogenesis factor 26 ,Infantile Refsum disease
90,KIF13A,kinesin family member 13A ,
90,LOXHD1,lipoxygenase homology domains 1 ,Autosomal recessive non-syndromic sensorineural deafness type DFNB
90,OPRD1,opioid receptor delta 1 ,
90,FBXW7,F-box and WD repeat domain containing 7 ,FBXW7-related developmental disorder monoallelic
90,ZFY,zinc finger protein Y-linked ,
90,EDC3,enhancer of mRNA decapping 3 ,Autosomal recessive non-syndromic intellectual disability
90,MROH1,maestro heat like repeat family member 1 ,
90,ARPC2,actin related protein 2/3 complex subunit 2 ,
90,AADACL3,arylacetamide deacetylase like 3 ,
90,ZNF609,zinc finger protein 609 ,
90,ORMDL1,ORMDL sphingolipid biosynthesis regulator 1 ,
90,LY6L,lymphocyte antigen 6 family member L ,
90,TEX22,testis expressed 22 ,
89,UNC5B,unc-5 netrin receptor B ,
89,KCNE5,potassium voltage-gated channel subfamily E regulatory subunit 5 ,Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome
89,SEC24C,"""SEC24 homolog C"," COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10705]"""
89,INKA2,inka box actin regulator 2 ,
89,RUBCN,rubicon autophagy regulator ,Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency
89,VPS13A,vacuolar protein sorting 13 homolog A ,CHOREOACANTHOCYTOSIS
89,TMEM47,transmembrane protein 47 ,
89,LRRC7,leucine rich repeat containing 7 ,
89,TLN2,talin 2 ,
89,MRPS27,mitochondrial ribosomal protein S27 ,
89,CDIP1,cell death inducing p53 target 1 ,
89,CALM3,calmodulin 3 ,Catecholaminergic polymorphic ventricular tachycardia
89,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1 ,Childhood absence epilepsy
89,NARF,nuclear prelamin A recognition factor ,
89,LSM11,"""LSM11"," U7 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:30860]"""
89,SIRT5,sirtuin 5 ,
89,RAB21,"""RAB21"," member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18263]"""
89,HAVCR2,hepatitis A virus cellular receptor 2 ,Subcutaneous panniculitis-like T-cell lymphoma
89,DCAF7,DDB1 and CUL4 associated factor 7 ,
89,SV2A,synaptic vesicle glycoprotein 2A ,
89,LPAR5,lysophosphatidic acid receptor 5 ,
89,UBFD1,ubiquitin family domain containing 1 ,
89,SERF1B,small EDRK-rich factor 1B ,
89,SERF1A,small EDRK-rich factor 1A ,
89,ASAP3,"""ArfGAP with SH3 domain"," ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]"""
89,CSRP3,cysteine and glycine rich protein 3 ,Familial isolated dilated cardiomyopathy
89,ANGEL1,angel homolog 1 ,
89,CXCL9,C-X-C motif chemokine ligand 9 ,
88,SNPH,syntaphilin ,
88,TSPAN10,tetraspanin 10 ,
88,RAPGEF5,Rap guanine nucleotide exchange factor 5 ,
88,KYNU,kynureninase ,Congenital vertebral-cardiac-renal anomalies syndrome
88,SLC24A4,solute carrier family 24 member 4 ,Hypocalcified amelogenesis imperfecta
88,HASPIN,histone H3 associated protein kinase ,
88,SYPL2,synaptophysin like 2 ,
88,NPSR1,neuropeptide S receptor 1 ,ASTHMA-RELATED TRAITS SUSCEPTIBILITY TO 2
88,C1orf216,chromosome 1 open reading frame 216 ,
88,CCDC177,coiled-coil domain containing 177 ,
88,TMEM178B,transmembrane protein 178B ,
88,THY1,Thy-1 cell surface antigen ,
88,DVL3,dishevelled segment polarity protein 3 ,Autosomal dominant Robinow syndrome
88,SEM1,SEM1 26S proteasome complex subunit ,Isolated split hand-split foot malformation
88,GSK3B,glycogen synthase kinase 3 beta ,
88,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B ,Autosomal dominant non-syndromic intellectual disability
88,NT5C1B,"""5'-nucleotidase"," cytosolic IB [Source:HGNC Symbol;Acc:HGNC:17818]"""
88,CYP2B6,cytochrome P450 family 2 subfamily B member 6 ,EFAVIRENZ POOR METABOLISM OF EFAVIRENZ CENTRAL NERVOUS SYSTEM TOXICITY SUSCEPTIBILITY TO INCLUDED
88,TXNIP,thioredoxin interacting protein ,
88,UBE2Q1,ubiquitin conjugating enzyme E2 Q1 ,
88,CELF1,CUGBP Elav-like family member 1 ,
88,RBMS1,RNA binding motif single stranded interacting protein 1 ,
88,CHAD,chondroadherin ,
88,PCDHGA3,"""protocadherin gamma subfamily A"," 3 [Source:HGNC Symbol;Acc:HGNC:8701]"""
88,CLCN5,chloride voltage-gated channel 5 ,Dent disease type 1
88,ST8SIA2,"""ST8 alpha-N-acetyl-neuraminide alpha-2","8-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10870]"""
88,PDE7A,phosphodiesterase 7A ,
87,RARG,retinoic acid receptor gamma ,
87,AQP6,aquaporin 6 ,
87,FNTB,"""farnesyltransferase", CAAX box
87,PACRG,parkin coregulated ,
87,KCNJ12,potassium inwardly rectifying channel subfamily J member 12 ,
87,TBX19,T-box transcription factor 19 ,Congenital isolated ACTH deficiency
87,PSD4,pleckstrin and Sec7 domain containing 4 ,
87,OSBPL11,oxysterol binding protein like 11 ,
87,ARMCX4,armadillo repeat containing X-linked 4 ,
87,HMGN1,high mobility group nucleosome binding domain 1 ,
87,KCNJ6,potassium inwardly rectifying channel subfamily J member 6 ,Keppen-Lubinsky syndrome
87,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1 ,THYROID CANCER NONMEDULLARY 2
87,ASXL1,ASXL transcriptional regulator 1 ,Aggressive systemic mastocytosis
87,PNKD,PNKD metallo-beta-lactamase domain containing ,Paroxysmal non-kinesigenic dyskinesia
87,ULBP1,UL16 binding protein 1 ,
87,NEK9,NIMA related kinase 9 ,NEK9-related lethal skeletal dysplasia
87,OAS3,2'-5'-oligoadenylate synthetase 3 ,
87,ZNF496,zinc finger protein 496 ,
87,CCR5,C-C motif chemokine receptor 5 ,HEPATITIS C VIRUS SUSCEPTIBILITY TO
87,DDR2,discoidin domain receptor tyrosine kinase 2 ,Spondyloepimetaphyseal dysplasia-short limb-abnormal calcification syndrome
87,SLC45A4,solute carrier family 45 member 4 ,
87,GMFB,glia maturation factor beta ,
87,NF1,neurofibromin 1 ,17q11 microdeletion syndrome
87,BLOC1S5,biogenesis of lysosomal organelles complex 1 subunit 5 ,
87,NCKAP5L,NCK associated protein 5 like ,
87,CC2D2A,coiled-coil and C2 domain containing 2A ,Joubert syndrome with hepatic defect
87,HEMK1,HemK methyltransferase family member 1 ,
87,ZMAT1,zinc finger matrin-type 1 ,
87,LRRC57,leucine rich repeat containing 57 ,
86,XRCC5,X-ray repair cross complementing 5 ,
86,AMOTL1,angiomotin like 1 ,
86,PPP3R1,"""protein phosphatase 3 regulatory subunit B"," alpha [Source:HGNC Symbol;Acc:HGNC:9317]"""
86,TRIM27,tripartite motif containing 27 ,Differentiated thyroid carcinoma
86,ALDH3A2,aldehyde dehydrogenase 3 family member A2 ,Sjogren-Larsson syndrome
86,WDR48,WD repeat domain 48 ,Autosomal recessive spastic paraplegia type 60
86,FOXN2,forkhead box N2 ,
86,RETREG3,reticulophagy regulator family member 3 ,
86,ABCF1,ATP binding cassette subfamily F member 1 ,
86,FAM9C,family with sequence similarity 9 member C ,
86,VAT1,vesicle amine transport 1 ,
86,SNTN,"""sentan"," cilia apical structure protein [Source:HGNC Symbol;Acc:HGNC:33706]"""
86,GRHL3,grainyhead like transcription factor 3 ,Bifid uvula
86,KPNA6,karyopherin subunit alpha 6 ,
86,CTPS2,CTP synthase 2 ,
86,NPIPB11,nuclear pore complex interacting protein family member B11 ,
86,DNAJC30,DnaJ heat shock protein family (Hsp40) member C30 ,
86,MED24,mediator complex subunit 24 ,
86,TBKBP1,TBK1 binding protein 1 ,
86,ILDR2,immunoglobulin like domain containing receptor 2 ,
86,NEDD4L,NEDD4 like E3 ubiquitin protein ligase ,Periventricular nodular heterotopia
86,KSR1,kinase suppressor of ras 1 ,
86,BSN,bassoon presynaptic cytomatrix protein ,
86,HIF1AN,hypoxia inducible factor 1 subunit alpha inhibitor ,
86,PRORP,protein only RNase P catalytic subunit ,
86,TIPRL,TOR signaling pathway regulator ,
86,C22orf23,chromosome 22 open reading frame 23 ,
86,SLC10A2,solute carrier family 10 member 2 ,NON RARE IN EUROPE: Primary bile acid malabsorption
86,LIMCH1,LIM and calponin homology domains 1 ,
86,ANKRD45,ankyrin repeat domain 45 ,
86,SCN3B,sodium voltage-gated channel beta subunit 3 ,Brugada syndrome
86,SUPT7L,"""SPT7 like"," STAGA complex subunit gamma [Source:HGNC Symbol;Acc:HGNC:30632]"""
86,SELENON,selenoprotein N ,Classic multiminicore myopathy
86,PGBD5,piggyBac transposable element derived 5 ,
86,FAM227A,family with sequence similarity 227 member A ,
86,GFOD2,glucose-fructose oxidoreductase domain containing 2 ,
86,CHD8,chromodomain helicase DNA binding protein 8 ,NON RARE IN EUROPE: Autism
86,CYP1A1,cytochrome P450 family 1 subfamily A member 1 ,
86,NOMO2,NODAL modulator 2 ,
86,NOL9,nucleolar protein 9 ,
86,TMEM164,transmembrane protein 164 ,
86,,novel protein,
86,KIAA0513,KIAA0513 ,
86,KCNN1,potassium calcium-activated channel subfamily N member 1 ,
86,TICRR,TOPBP1 interacting checkpoint and replication regulator ,
86,AMIGO1,adhesion molecule with Ig like domain 1 ,
86,E2F3,E2F transcription factor 3 ,
86,ATXN2L,ataxin 2 like ,
85,STX7,syntaxin 7 ,
85,ELL3,elongation factor for RNA polymerase II 3 ,
85,ZNF385D,zinc finger protein 385D ,
85,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1 ,Cerebro-costo-mandibular syndrome
85,SGCD,sarcoglycan delta ,Delta-sarcoglycan-related  limb-girdle muscular dystrophy R6
85,KCNK9,potassium two pore domain channel subfamily K member 9 ,Intellectual disability Birk-Barel type
85,TCP10L,t-complex 10 like ,
85,AKAP10,A-kinase anchoring protein 10 ,CARDIAC CONDUCTION DEFECT SUDDEN CARDIAC DEATH INCLUDED
85,AGAP3,"""ArfGAP with GTPase domain"," ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]"""
85,CLSTN2,calsyntenin 2 ,
85,EIF3M,eukaryotic translation initiation factor 3 subunit M ,
85,NOMO3,NODAL modulator 3 ,
85,STRBP,spermatid perinuclear RNA binding protein ,
85,BACH2,BTB domain and CNC homolog 2 ,IMMUNODEFICIENCY 60
85,ESR1,estrogen receptor 1 ,Estrogen resistance syndrome
85,CHST9,carbohydrate sulfotransferase 9 ,
85,NAGA,alpha-N-acetylgalactosaminidase ,Alpha-N-acetylgalactosaminidase deficiency type 1
85,KPNA3,karyopherin subunit alpha 3 ,
85,NAE1,NEDD8 activating enzyme E1 subunit 1 ,
85,ATP1B2,ATPase Na+/K+ transporting subunit beta 2 ,
85,ABL2,"""ABL proto-oncogene 2"," non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]"""
85,EMC3,ER membrane protein complex subunit 3 ,
85,TTC17,tetratricopeptide repeat domain 17 ,
85,NUP93,nucleoporin 93 ,Genetic steroid-resistant nephrotic syndrome
85,PPP1R9B,protein phosphatase 1 regulatory subunit 9B ,
85,MARVELD2,MARVEL domain containing 2 ,Autosomal recessive non-syndromic sensorineural deafness type DFNB
85,POGLUT3,protein O-glucosyltransferase 3 ,
85,THADA,THADA armadillo repeat containing ,
85,SLC48A1,solute carrier family 48 member 1 ,
85,UBXN7,UBX domain protein 7 ,
85,NFAM1,NFAT activating protein with ITAM motif 1 ,
85,VSIG10L,V-set and immunoglobulin domain containing 10 like ,
85,SIK2,salt inducible kinase 2 ,
85,MYORG,myogenesis regulating glycosidase (putative) ,Bilateral striopallidodentate calcinosis
84,LIMD1,LIM domains containing 1 ,
84,SYNGAP1,synaptic Ras GTPase activating protein 1 ,Autosomal dominant non-syndromic intellectual disability
84,ZC3H11A,zinc finger CCCH-type containing 11A ,
84,WDR31,WD repeat domain 31 ,
84,C4orf46,chromosome 4 open reading frame 46 ,
84,PXN,paxillin ,
84,SEC31B,"""SEC31 homolog B"," COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:23197]"""
84,SRCIN1,SRC kinase signaling inhibitor 1 ,
84,ZNF585A,zinc finger protein 585A ,
84,IL10,interleukin 10 ,Behcet disease
84,STAC2,SH3 and cysteine rich domain 2 ,
84,CD34,CD34 molecule ,
84,SRRM4,serine/arginine repetitive matrix 4 ,
84,STAM,signal transducing adaptor molecule ,
84,AGO2,argonaute RISC catalytic component 2 ,
84,ZNF84,zinc finger protein 84 ,
84,SOX13,SRY-box transcription factor 13 ,
84,XPC,"""XPC complex subunit"," DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12816]"""
84,TGFBR3,transforming growth factor beta receptor 3 ,Familial cerebral saccular aneurysm
84,C2orf72,chromosome 2 open reading frame 72 ,
84,TEF,"""TEF transcription factor"," PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:11722]"""
84,DENND4C,DENN domain containing 4C ,
84,HNRNPLL,heterogeneous nuclear ribonucleoprotein L like ,
84,FAM102A,family with sequence similarity 102 member A ,
84,CRBN,cereblon ,Autosomal recessive non-syndromic intellectual disability
84,FRMPD3,FERM and PDZ domain containing 3 ,
84,B3GALT5,"""beta-1","3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]"""
84,SPPL2A,signal peptide peptidase like 2A ,
84,EHHADH,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase ,Bifunctional enzyme deficiency
84,KCNQ3,potassium voltage-gated channel subfamily Q member 3 ,Benign familial infantile epilepsy
84,CAPN2,calpain 2 ,
84,SCN4B,sodium voltage-gated channel beta subunit 4 ,Familial atrial fibrillation
84,TMCC3,transmembrane and coiled-coil domain family 3 ,
84,,novel transcript,
84,MDM2,MDM2 proto-oncogene ,Dedifferentiated liposarcoma
84,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2 ,APPARENT MINERALOCORTICOID EXCESS
84,MOB3C,MOB kinase activator 3C ,
84,ARPC5,actin related protein 2/3 complex subunit 5 ,
84,NDUFA4L2,NDUFA4 mitochondrial complex associated like 2 ,
83,C10orf71,chromosome 10 open reading frame 71 ,
83,MEX3A,mex-3 RNA binding family member A ,
83,SLC6A9,solute carrier family 6 member 9 ,Atypical glycine encephalopathy
83,SLC13A2,solute carrier family 13 member 2 ,
83,ART4,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group) ,Blood group dombrock system
83,DOCK9,dedicator of cytokinesis 9 ,
83,FNDC3B,fibronectin type III domain containing 3B ,
83,SYT9,synaptotagmin 9 ,
83,ZNF765,zinc finger protein 765 ,
83,GNAI3,G protein subunit alpha i3 ,Auriculocondylar syndrome
83,VXN,vexin ,
83,CBX5,chromobox 5 ,
83,MED20,mediator complex subunit 20 ,
83,XPR1,xenotropic and polytropic retrovirus receptor 1 ,Bilateral striopallidodentate calcinosis
83,PALM2AKAP2,PALM2 and AKAP2 fusion ,
83,PAX7,paired box 7 ,Alveolar rhabdomyosarcoma
83,SORL1,sortilin related receptor 1 ,Early-onset autosomal dominant Alzheimer disease
83,APOOL,apolipoprotein O like ,
83,SLC12A7,solute carrier family 12 member 7 ,
83,PHF8,PHD finger protein 8 ,X-linked intellectual disability Siderius type
83,PHLPP2,PH domain and leucine rich repeat protein phosphatase 2 ,
83,FBRS,fibrosin ,
83,MAS1,"""MAS1 proto-oncogene"," G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:6899]"""
83,SSUH2,ssu-2 homolog ,Dentin dysplasia type I
83,SLC12A5,solute carrier family 12 member 5 ,Malignant migrating focal seizures of infancy
83,RC3H1,ring finger and CCCH-type domains 1 ,IMMUNE DYSREGULATION AND SYSTEMIC HYPERINFLAMMATION SYNDROME
83,,novel protein,
83,DGKI,diacylglycerol kinase iota ,
83,CHODL,chondrolectin ,
83,KCND1,potassium voltage-gated channel subfamily D member 1 ,
83,ADNP2,ADNP homeobox 2 ,
83,ONECUT2,one cut homeobox 2 ,
83,POLR1A,RNA polymerase I subunit A ,BURN-MCKEOWN SYNDROME
83,PPP2R5E,protein phosphatase 2 regulatory subunit B'epsilon ,
83,ADD2,adducin 2 ,
83,TGFBI,transforming growth factor beta induced ,Epithelial basement membrane dystrophy
83,ZBTB37,zinc finger and BTB domain containing 37 ,
83,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1 ,
83,WDR7,WD repeat domain 7 ,
83,KIF21B,kinesin family member 21B ,
83,AGO3,argonaute RISC catalytic component 3 ,
83,SCNN1A,sodium channel epithelial 1 subunit alpha ,Brugada syndrome
83,C3orf18,chromosome 3 open reading frame 18 ,
83,DTX4,deltex E3 ubiquitin ligase 4 ,
83,ARSB,arylsulfatase B ,Mucopolysaccharidosis type 6 rapidly progressing
83,PLXNA2,plexin A2 ,
83,PLXDC2,plexin domain containing 2 ,
83,RPS6KA5,ribosomal protein S6 kinase A5 ,
83,CCNT1,cyclin T1 ,
83,EPHB2,EPH receptor B2 ,Familial prostate cancer
82,SSH1,slingshot protein phosphatase 1 ,
